# Used by org.languagetool.rules.nl.MissingSpaceRule
# should be used for compound of 2 parts and more
# those should not be in simple replace then.
# format: separate parts of compound word| description of meaning of compound (to avoid confusion with occasion correct use of split form)
anti Monsanto demonstratie|demonstratie tegen Monsanto
anti Monsanto mensen|mensen tegen Monsanto
anti Moore website|website tegen Moore
anti Morales bewoners|bewoners tegen Morales
anti Morales sfeer|sfeer tegen Morales
anti Morgan petitie|petitie tegen Morgan
anti mormonen menigte|menigte tegen mormonen
anti Morsi betogers|betogers tegen Morsi
anti Morsi demonstranten|demonstranten tegen Morsi
anti Morsi Egyptenaren|Egyptenaren tegen Morsi
anti Morsi mensenmassa|mensenmassa tegen Morsi
anti mosbehandeling|mosbehandeling tegen 
anti mos coatings|coatings tegen mos
anti moskee activisme|activisme tegen moskee
anti moskee demonstratie|demonstratie tegen moskee
anti moskee gemoederen|gemoederen tegen moskee
anti moskee kruisvaarder|kruisvaarder tegen moskee
anti moskee lied|lied tegen moskee
anti moskee stemming|stemming tegen moskee
anti Moskovische houding|houding tegen Moskovische
anti moslim activist|activist tegen moslim
anti moslim advertentie|advertentie tegen moslim
anti moslimagenda|moslimagenda tegen 
anti moslimagenda datingsites|datingsites tegen moslimagenda
anti moslim agitatie|agitatie tegen moslim
anti moslim argumenten|argumenten tegen moslim
anti moslim artikel|artikel tegen moslim
anti moslim beleid|beleid tegen moslim
anti moslim beweging|beweging tegen moslim
anti moslim bewegingen|bewegingen tegen moslim
anti moslim bias|bias tegen moslim
anti moslim brigade|brigade tegen moslim
anti moslim buitenhouders|buitenhouders tegen moslim
anti moslim campagne|campagne tegen moslim
anti moslim cartoons|cartoons tegen moslim
anti moslim column|column tegen moslim
anti moslim demonstratie|demonstratie tegen moslim
anti moslim demonstraties|demonstraties tegen moslim
anti moslim dictatuur|dictatuur tegen moslim
anti moslim elementen|elementen tegen moslim
anti moslim excessen|excessen tegen moslim
anti moslim extremisme|extremisme tegen moslim
anti moslim fascisme|fascisme tegen moslim
anti moslim fascist|fascist tegen moslim
anti moslim fora|fora tegen moslim
anti moslim gevoel|gevoel tegen moslim
anti moslim gevoelens|gevoelens tegen moslim
anti moslim gevoelswaarde|gevoelswaarde tegen moslim
anti moslim gezeik|gezeik tegen moslim
anti moslimhaat activisten|activisten tegen moslimhaat
anti moslim haat-propaganda|haat-propaganda tegen moslim
anti moslimhaat werkgroep|werkgroep tegen moslimhaat
anti moslim hetze|hetze tegen moslim
anti moslim houding|houding tegen moslim
anti moslim ideologie|ideologie tegen moslim
anti moslim incidenten|incidenten tegen moslim
anti moslim instelling|instelling tegen moslim
anti moslim karretje|karretje tegen moslim
anti moslim klimaat|klimaat tegen moslim
anti moslim liedjes|liedjes tegen moslim
anti moslim maaiveld|maaiveld tegen moslim
anti moslim maatregelen|maatregelen tegen moslim
anti moslim mensen|mensen tegen moslim
anti moslim mentaliteit|mentaliteit tegen moslim
anti moslim monniken|monniken tegen moslim
anti moslim nieuwsberichtjes|nieuwsberichtjes tegen moslim
anti moslim onzin|onzin tegen moslim
anti moslim opinies|opinies tegen moslim
anti moslim organisaties|organisaties tegen moslim
anti moslim paradigma|paradigma tegen moslim
anti moslim partij|partij tegen moslim
anti moslim pleidooi|pleidooi tegen moslim
anti moslim pogrom|pogrom tegen moslim
anti moslim politicus|politicus tegen moslim
anti moslim posts|posts tegen moslim
anti moslim programma|programma tegen moslim
anti moslim propaganda|propaganda tegen moslim
anti moslim racisme|racisme tegen moslim
anti moslim racisten|racisten tegen moslim
anti moslim reacties|reacties tegen moslim
anti moslim retoriek|retoriek tegen moslim
anti moslimretoriek ingang|ingang tegen moslimretoriek
anti moslim sentiment|sentiment tegen moslim
anti moslim sentimenten|sentimenten tegen moslim
anti moslims expositie|expositie tegen moslims
anti moslims fascisme|fascisme tegen moslims
anti moslim sfeer|sfeer tegen moslim
anti moslim sites|sites tegen moslim
anti moslim standpunt|standpunt tegen moslim
anti moslim standpunten|standpunten tegen moslim
anti moslim stemming|stemming tegen moslim
anti moslim stereotypen|stereotypen tegen moslim
anti moslim tekst|tekst tegen moslim
anti moslim tendens|tendens tegen moslim
anti moslim topic|topic tegen moslim
anti moslim trolletjes|trolletjes tegen moslim
anti moslim uitlatingen|uitlatingen tegen moslim
anti moslim vooroordelen|vooroordelen tegen moslim
anti moslim xenofobie|xenofobie tegen moslim
anti mos product|product tegen mos
anti mos producten|producten tegen mos
anti mos werking|werking tegen mos
anti motor bastion|bastion tegen motor
anti motorcrossers lid|lid tegen motorcrossers
anti motor fundamentalist|fundamentalist tegen motor
anti MS figuren|figuren tegen MS
anti MS issue|issue tegen MS
anti MS lijstjes|lijstjes tegen MS
anti MS mannetjes|mannetjes tegen MS
anti MS opinie|opinie tegen MS
anti MS opmerkingen|opmerkingen tegen MS
anti MS reactie|reactie tegen MS
anti MS sentimenten|sentimenten tegen MS
anti MS stokpaardjes|stokpaardjes tegen MS
anti MS website|website tegen MS
anti Mubarak aanhangers|aanhangers tegen Mubarak
anti Mubarak demonstrant|demonstrant tegen Mubarak
anti Mubarak demonstranten|demonstranten tegen Mubarak
anti Mubarak manifestanten|manifestanten tegen Mubarak
anti Mubarak protesten|protesten tegen Mubarak
anti mug bewerking|bewerking tegen mug
anti muggen armbandje|armbandje tegen muggen
anti muggen attributen|attributen tegen muggen
anti muggen behandeling|behandeling tegen muggen
anti muggen dekens|dekens tegen muggen
anti muggen deur|deur tegen muggen
anti muggen device|device tegen muggen
anti muggengaas|muggengaas tegen 
anti muggenlotion|muggenlotion tegen 
anti muggenmaatregelen|muggenmaatregelen tegen 
anti muggen machines|machines tegen muggen
anti muggen producten|producten tegen muggen
anti muggen racket|racket tegen muggen
anti muggen soja|soja tegen muggen
anti muggenspul|muggenspul tegen 
anti muggenspullen|muggenspullen tegen 
anti muggen spulletjes|spulletjes tegen muggen
anti muggen staafjes|staafjes tegen muggen
anti muggenstekker|muggenstekker tegen 
anti muggen stekkerdoos|stekkerdoos tegen muggen
anti muggen stickers|stickers tegen muggen
anti muggen sticks|sticks tegen muggen
anti muggen vloeistof|vloeistof tegen muggen
anti mug lotion|lotion tegen mug
anti mug lotions|lotions tegen mug
anti mug maatregelen|maatregelen tegen mug
anti mug matras|matras tegen mug
anti mug matrassen|matrassen tegen mug
anti mug product|product tegen mug
anti mug producten|producten tegen mug
anti mug roller|roller tegen mug
anti mug spul|spul tegen mug
anti mug stekker|stekker tegen mug
anti mug stickers|stickers tegen mug
anti mug topper|topper tegen mug
anti mug verdamper|verdamper tegen mug
anti mug verstuiver|verstuiver tegen mug
anti Muller campagne|campagne tegen Muller
anti Murphy fondsje|fondsje tegen Murphy
anti Musharraf bijeenkomst|bijeenkomst tegen Musharraf
anti muskieten kledinglijn|kledinglijn tegen muskieten
anti mussen campagne|campagne tegen mussen
anti mutanten activist|activist tegen mutanten
anti mutanten hysterie|hysterie tegen mutanten
anti mutanten samenzwering|samenzwering tegen mutanten
anti mutatie systeem|systeem tegen mutatie
anti mycose component|component tegen mycose
anti mycose tinctuur|tinctuur tegen mycose
anti myeline antilichamen|antilichamen tegen myelinelichamen
anti nagelschimmel producten|producten tegen nagelschimmel
anti Napoleon gevoelens|gevoelens tegen Napoleon
anti narcisme comité|comité tegen narcisme
anti narcotica agentschap|agentschap tegen narcotica
anti narcoticabrigade|narcoticabrigade tegen 
anti narcotica brigades|brigades tegen narcotica
anti narcotica dienst|dienst tegen narcotica
anti narcotica strategie|strategie tegen narcotica
anti NATO demonstratie|demonstratie tegen NATO
anti NATO krachten|krachten tegen NATO
anti NAVO activiste|activiste tegen NAVO
anti NAVO betoging|betoging tegen NAVO
anti NAVO demonstratie|demonstratie tegen NAVO
anti NAVO houding|houding tegen NAVO
anti NAVO partij|partij tegen NAVO
anti NAVO protest|protest tegen NAVO
anti NAVO standpunt|standpunt tegen NAVO
anti nazi activiteiten|activiteiten tegen nazi
anti nazi betoging|betoging tegen nazi
anti nazi beweging|beweging tegen nazi
anti nazi drukwerk|drukwerk tegen nazi
anti nazi encycliek|encycliek tegen nazi
anti nazifilm VS|VS tegen nazifilm
anti nazi gezindheid|gezindheid tegen nazi
anti nazi haatboek|haatboek tegen nazi
anti nazi houding|houding tegen nazi
anti nazi lied|lied tegen nazi
anti nazi logo|logo tegen nazi
anti nazi martelaar|martelaar tegen nazi
anti nazi militie|militie tegen nazi
anti nazi opstand|opstand tegen nazi
anti nazi organisatie|organisatie tegen nazi
anti nazi pamflet|pamflet tegen nazi
anti nazi pamfletten|pamfletten tegen nazi
anti nazipamfletten kunstenaars|kunstenaars tegen nazipamfletten
anti nazi propaganda|propaganda tegen nazi
anti nazi propagandafilm|propagandafilm tegen nazi
anti nazi protesten|protesten tegen nazi
anti nazi radio-uitzendingen|radio-uitzendingen tegen nazi
anti nazi rechtbank|rechtbank tegen nazi
anti nazi schrijver|schrijver tegen nazi
anti nazi toespraak|toespraak tegen nazi
anti nazi toneelstuk|toneelstuk tegen nazi
anti Nederland campagne|campagne tegen Nederland
anti Nederlander mentaliteit|mentaliteit tegen Nederlander
anti Nederland gevoelens|gevoelens tegen Nederland
anti Nederland houding|houding tegen Nederland
anti Nederland partij|partij tegen Nederland
anti Nederland retoriek|retoriek tegen Nederland
anti Nederland sentiment|sentiment tegen Nederland
anti Nederland Vlamingen|Vlamingen tegen Nederland
anti neder zettingenresolutie|zettingenresolutie tegen neder
anti nederzetting resolutie|resolutie tegen nederzetting
anti negationisme wetgeving|wetgeving tegen negationisme
anti nematoden effect|effect tegen nematoden
anti nematoden eigenschappen|eigenschappen tegen nematoden
anti nematoden teelten|teelten tegen nematoden
anti Nestlé filmpje|filmpje tegen Nestlé
anti neutrino elektron|elektron tegen neutrino
anti neutronenbom demonstratie|demonstratie tegen neutronenbom
anti newton glas|glas tegen newton
anti newton glasraampjes|glasraampjes tegen newton
anti nicotine producten|producten tegen nicotine
anti niet moslims|moslims tegen niet
anti Nike campagnes|campagnes tegen Nike
anti Nike dag|dag tegen Nike
anti Nike schoen|schoen tegen Nike
anti Nixon satire|satire tegen Nixon
anti noise correctie|correctie tegen noise
anti noise functie|functie tegen noise
anti noise systeem|systeem tegen noise
anti noise vernauwing|vernauwing tegen noise
anti Norbert gedoe|gedoe tegen Norbert
anti NOS borden|borden tegen NOS
anti NRC roddelsite|roddelsite tegen NRC
anti NSA apparaat|apparaat tegen NSA
anti NSA maatregelen|maatregelen tegen NSA
anti NSA telefoon|telefoon tegen NSA
anti NSB campagne|campagne tegen NSB
anti NSB gedrag|gedrag tegen NSB
anti NSDAP partijbijeenkomst|partijbijeenkomst tegen NSDAP
anti N-VA artikels|artikels tegen N-VA
anti N-VA pamflet|pamflet tegen N-VA
anti N-VA uitschuiver|uitschuiver tegen N-VA
anti Obama campagne|campagne tegen Obama
anti Obama houding|houding tegen Obama
anti Obama opportunisten|opportunisten tegen Obama
anti Obama protesten|protesten tegen Obama
anti Obama referendum|referendum tegen Obama
anti Obama retoriek|retoriek tegen Obama
anti Obama sentimenten|sentimenten tegen Obama
anti Obama song|song tegen Obama
anti Obama spandoek|spandoek tegen Obama
anti Obama standpunt|standpunt tegen Obama
anti obesitas beleid|beleid tegen obesitas
anti obesitas campagne|campagne tegen obesitas
anti obesitas drugs|drugs tegen obesitas
anti obesitas effect|effect tegen obesitas
anti obesitas richting|richting tegen obesitas
anti oedeem bandages|bandages tegen oedeem
anti oedeem werking|werking tegen oedeem
anti Oekraïne sentiment|sentiment tegen Oekraïne
anti Oekraïne teksten|teksten tegen Oekraïne
anti Ollands racisme|racisme tegen Ollands
anti ondernemer maatregelen|maatregelen tegen ondernemer
anti onderzeeboot bestrijding|bestrijding tegen onderzeeboot
anti onderzeeboot dieptebommen|dieptebommen tegen onderzeeboot
anti onderzeeboot helikopters|helikopters tegen onderzeeboot
anti onderzeeboot oefening|oefening tegen onderzeeboot
anti onderzeeboot operaties|operaties tegen onderzeeboot
anti onderzeeboot patrouilles|patrouilles tegen onderzeeboot
anti onderzeeboot trawlers|trawlers tegen onderzeeboot
anti onderzeeboot vaartuigen|vaartuigen tegen onderzeeboot
anti onderzeeboot wapentuig|wapentuig tegen onderzeeboot
anti ongedierte producten|producten tegen ongedierte
anti ongeval systemen|systemen tegen ongeval
anti onkruid korrels|korrels tegen onkruid
anti onkruid product|product tegen onkruid
anti onkruid worteldoek|worteldoek tegen onkruid
anti ontkenners site|site tegen ontkenners
anti ontpoldering houding|houding tegen ontpoldering
anti ontsteking eigenschappen|eigenschappen tegen ontsteking
anti ontsteking voedingspatroon|voedingspatroon tegen ontsteking
anti ontwikkeling dogma|dogma tegen ontwikkeling
anti ontwikkeling karakter|karakter tegen ontwikkeling
anti onvermogen medicijn|medicijn tegen onvermogen
anti onzin alarmbellen|alarmbellen tegen onzin
anti oorlog activisme|activisme tegen oorlog
anti oorlog activist|activist tegen oorlog
anti oorlog activisten|activisten tegen oorlog
anti oorlog betogingen|betogingen tegen oorlog
anti oorlog beweging|beweging tegen oorlog
anti oorlog bewegingen|bewegingen tegen oorlog
anti oorlog campagne|campagne tegen oorlog
anti oorlog demonstranten|demonstranten tegen oorlog
anti oorlog demonstratie|demonstratie tegen oorlog
anti oorlog demonstraties|demonstraties tegen oorlog
anti oorlog doeleinden|doeleinden tegen oorlog
anti oorlog gebeurtenissen|gebeurtenissen tegen oorlog
anti oorlog gevoelens|gevoelens tegen oorlog
anti oorlog houding|houding tegen oorlog
anti oorlog initiatieven|initiatieven tegen oorlog
anti oorlog lied|lied tegen oorlog
anti oorlog maat|maat tegen oorlog
anti oorlog manifestaties|manifestaties tegen oorlog
anti oorlog mensen|mensen tegen oorlog
anti oorlog oppositie|oppositie tegen oorlog
anti oorlog persoonlijkheid|persoonlijkheid tegen oorlog
anti oorlog posters|posters tegen oorlog
anti oorlog protesten|protesten tegen oorlog
anti oorlog punknummers|punknummers tegen oorlog
anti oorlog retoriek|retoriek tegen oorlog
anti oorlog satire|satire tegen oorlog
anti oorlog sketches|sketches tegen oorlog
anti oorlog standpunt|standpunt tegen oorlog
anti oorlog statement|statement tegen oorlog
anti oorlog symbool|symbool tegen oorlog
anti oorlog teksten|teksten tegen oorlog
anti oorlog verklaring|verklaring tegen oorlog
anti oorlog video|video tegen oorlog
anti oorlog vrede|vrede tegen oorlog
